"","X","X2010.01.31","X2010.02.28","X2010.03.31","X2010.04.30","X2010.05.31","X2010.06.30","X2010.07.31","X2010.08.31","X2010.09.30","X2010.10.31","X2010.11.30","X2010.12.31","X2011.01.31","X2011.02.28","X2011.03.31","X2011.04.30","X2011.05.31","X2011.06.30","X2011.07.31","X2011.08.31","X2011.09.30","X2011.10.31","X2011.11.30","X2011.12.31","X2012.01.31","X2012.02.29","X2012.03.31","X2012.04.30","X2012.05.31","X2012.06.30","X2012.07.31","X2012.08.31","X2012.09.30","X2012.10.31","X2012.11.30","X2012.12.31","X2013.01.31","X2013.02.28","X2013.03.31","X2013.04.30","X2013.05.31","X2013.06.30","X2013.07.31","X2013.08.31","X2013.09.30","X2013.10.31","X2013.11.30","X2013.12.31","X2014.01.31","X2014.02.28","X2014.03.31","X2014.04.30","X2014.05.31","X2014.06.30","X2014.07.31","X2014.08.31","X2014.09.30","X2014.10.31","X2014.11.30","X2014.12.31","X2015.01.31","X2015.02.28","X2015.03.31","X2015.04.30","X2015.05.31","X2015.06.30","X2015.07.31","X2015.08.31","X2015.09.30","X2015.10.31","X2015.11.30","X2015.12.31","X2016.01.31","X2016.02.29","X2016.03.31","X2016.04.30","X2016.05.31","X2016.06.30","X2016.07.31","X2016.08.31","X2016.09.30","X2016.10.31","X2016.11.30","X2016.12.31","X2017.01.31","X2017.02.28","X2017.03.31","X2017.04.30","X2017.05.31","X2017.06.30","X2017.07.31","X2017.08.31","X2017.09.30","X2017.10.31","X2017.11.30","X2017.12.31","X2018.01.31","X2018.02.28","X2018.03.31","X2018.04.30","X2018.05.31","X2018.06.30","X2018.07.31","X2018.08.31","X2018.09.30","X2018.10.31","X2018.11.30","X2018.12.31","X2019.01.31","X2019.02.28","X2019.03.31","X2019.04.30","X2019.05.31","X2019.06.30","X2019.07.31","X2019.08.31","X2019.09.30","X2019.10.31","X2019.11.30","X2019.12.31","X2020.01.31","X2020.02.29","X2020.03.31","X2020.04.30","X2020.05.31","X2020.06.30","X2020.07.31","X2020.08.31","X2020.09.30","X2020.10.31","X2020.11.30","X2020.12.31","X2021.01.31","X2021.02.28","X2021.03.31","County","Zip","State","City","Population_density","Crime_rate_Per1000","School_ranking","crime_rate","label_density"
"1",0,1360248,1371500,1367034,1361617,1355836,1359737,1350814,1352028,1355050,1357467,1345246,1324915,1307680,1295608,1291779,1291437,1285861,1276696,1278042,1279045,1273932,1266850,1266738,1276037,1281603,1293825,1306397,1316797,1331233,1348873,1374957,1402682,1435454,1459243,1474723,1485395,1511770,1523685,1543086,1565299,1599074,1628980,1645835,1647254,1641966,1637314,1654306,1683670,1710348,1736469,1750773,1761528,1771627,1775873,1784528,1809978,1847863,1893958,1925291,1935065,1934462,1957904,1988544,2026045,2037546,2070389,2106870,2123875,2124694,2124036,2133419,2158133,2189406,2197652,2198807,2184580,2190236,2178476,2161144,2155091,2167313,2179699,2197492,2204730,2211552,2208107,2209165,2224664,2250690,2273809,2294250,2318787,2336879,2353689,2356337,2369312,2376811,2401287,2431335,2462833,2480481,2506144,2541309,2571857,2602667,2631670,2664748,2674137,2692300,2699330,2703370,2690045,2699962,2721500,2748892,2758610,2769712,2785559,2808519,2838348,2854351,2867927,2865503,2868234,2854440,2836336,2807463,2792238,2776001,2756297,2730469,2707075,2688144,2669748,2659924,"San Francisco County",94109,"CA","San Francisco",18132.6,53.03,2.5,1,1
"2",1,398115,396063,395565,397041,400088,398494,398359,396367,395630,394156,390941,388885,388177,388716,387068,385402,380495,380051,378052,377060,374632,372309,372095,370055,368412,366060,364778,364377,366856,368445,370331,371541,374625,378943,382496,388348,393733,402041,409628,417889,423352,429697,436065,444694,450761,455217,459150,461439,464122,463736,464863,465010,466895,467460,470573,471749,474240,475728,478245,480950,484058,487952,491745,493603,496474,499453,501998,504173,506555,510406,514998,520462,524372,527971,530752,536365,540165,544616,545975,549409,553570,559523,563193,566291,570963,575883,580159,583262,588135,592572,598303,603055,606617,608586,612421,616845,621968,627161,633752,638865,643363,647153,651197,653329,655191,657520,660162,661044,660846,658204,656046,656422,661212,666883,668430,668486,668680,670128,671766,676500,682212,688985,694710,700293,702885,705097,710528,718546,727126,735089,742620,748652,754558,761302,768925,"Los Angeles County",90250,"CA","Hawthorne",14252.6,29.86,2.2,2,1
"3",2,316435,314690,310917,307476,305356,301895,298806,293130,292972,291076,293551,291981,292166,294865,300740,306147,309806,307755,303093,299153,297421,298241,297367,298670,298313,298999,300066,302568,304230,306730,312119,316303,320959,326291,331333,334125,336074,340226,347735,356807,367171,379093,388093,398212,404154,409900,413698,419307,426677,431036,430177,428685,430564,436901,444919,447104,453847,457653,472690,484679,496815,504969,512699,516880,515489,507723,500807,502553,503116,509602,502794,500748,495881,496878,500534,505694,512662,522828,527901,530940,529316,528954,530643,532145,534344,537124,539648,543755,546410,546271,548320,551393,557764,560248,565308,570298,578399,584509,588549,588620,591326,594969,599410,598156,599145,599378,599400,595967,594836,592684,590664,588891,591177,592824,592807,590067,586772,585751,586772,591153,591235,591074,592042,595743,596325,597314,599300,606455,613067,619675,624758,629591,636837,646154,655950,"Contra Costa County",94565,"CA","Pittsburg",3927.7,34.99,0.666666666666667,1,3
"4",3,605970,605225,605009,606406,613634,612335,607943,598985,588396,580386,573169,574081,574558,576109,576040,575825,570975,569383,568656,575563,583384,589551,592419,593743,596735,599344,600531,602929,607393,615303,623640,623254,623715,627235,639005,651280,661853,676833,692813,709038,721461,732488,744459,760279,774939,784387,791429,795365,804537,809011,815946,821127,828338,834788,839547,846057,853021,865668,878406,892428,903806,916776,929864,940807,955821,970420,987714,1002276,1018326,1036560,1053311,1071907,1083079,1095933,1106073,1125359,1141418,1160379,1177570,1198513,1218281,1231266,1240177,1250367,1268676,1284060,1299984,1313277,1334158,1351274,1367407,1381732,1398166,1415897,1438884,1460770,1485449,1512343,1541798,1563019,1570466,1576292,1585687,1598905,1611489,1626917,1644499,1656350,1664288,1662898,1663614,1671575,1692410,1712602,1725628,1736972,1753658,1772312,1784697,1797704,1805970,1822740,1838906,1856151,1866779,1878293,1893900,1908833,1918952,1925416,1934178,1945332,1960984,1973954,1985115,"Los Angeles County",90046,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"5",4,496872,498563,500502,502803,507965,508603,507297,503664,502299,500278,499579,495981,492076,487472,484254,478771,471880,465683,469548,476720,485138,485791,481384,478417,476378,477081,477891,482917,490776,500567,501507,503939,505018,515835,528504,542818,558308,569939,584262,599379,618334,634818,654048,667673,682095,689770,700178,710639,718346,727958,730753,731748,727570,724924,722810,724549,726096,732721,739742,746153,750319,755700,767392,780005,790399,799706,809013,820140,832627,840806,844289,849597,859298,870178,871496,874379,878848,885287,885770,884905,882863,888846,897316,902987,907334,910980,922089,928808,934497,942513,950710,957107,966952,975370,986602,1000304,1014327,1024429,1028363,1035349,1045254,1051427,1061920,1074399,1081429,1084445,1084225,1078529,1069144,1064666,1069317,1078556,1092601,1105516,1115493,1113737,1113550,1109200,1108100,1117219,1136526,1147511,1151245,1148297,1146841,1146530,1147188,1157335,1169142,1187083,1204079,1216006,1222751,1235760,1252920,"Alameda County",94501,"CA","Alameda",7378.7,22.36,3.83333333333333,3,1
"6",5,849079,857574,853700,858649,861281,865815,859606,861387,863330,863817,855878,843061,837640,831940,832092,829503,827268,821364,817522,808570,803512,802982,808076,812956,809672,813996,820216,827948,829869,836235,853002,880905,905791,918444,922477,928806,952008,965667,980039,989347,1014668,1039549,1055334,1059430,1062069,1072512,1090787,1116512,1133719,1149885,1160439,1175673,1191133,1198873,1209778,1216612,1226826,1236204,1253450,1262114,1264640,1278108,1300630,1329195,1331508,1342608,1354952,1371702,1386781,1398817,1404404,1408896,1422707,1429013,1424421,1400003,1397150,1391809,1387772,1384212,1392118,1404082,1420099,1427716,1431162,1424051,1421127,1430129,1446255,1459912,1463481,1464505,1459700,1463728,1469275,1486286,1497766,1517458,1543343,1576964,1595050,1618660,1650903,1688619,1711024,1717999,1710186,1698268,1692913,1691718,1687802,1669465,1665432,1662857,1661297,1644490,1638719,1655384,1677878,1699983,1707178,1714635,1710565,1708275,1702095,1697191,1689250,1691096,1693147,1683391,1675172,1666967,1668328,1666022,1671949,"San Francisco County",94110,"CA","San Francisco",18132.6,53.03,2.5,1,1
"7",6,756888,755997,757899,762214,772432,771960,770574,766403,764710,762826,755664,751336,746922,745903,742653,740080,733940,731842,729693,724369,719287,712526,714773,715011,716726,716521,715175,715451,718152,723883,728205,731770,736126,747615,756313,766606,773367,787590,803797,820816,834452,845491,859651,880160,898723,908542,914011,917611,924718,923445,922010,919558,920349,922979,927035,923199,918747,916037,923077,930324,940109,950588,962734,969850,979455,988775,992378,997960,1003465,1015456,1023217,1034705,1042698,1055365,1065340,1080556,1091495,1102140,1122455,1146601,1172510,1186130,1193360,1201561,1212957,1222045,1229310,1235072,1246203,1256694,1259924,1263065,1271336,1290337,1317669,1337691,1353053,1367124,1386067,1404678,1415858,1424274,1431090,1434820,1433642,1433951,1433290,1431776,1429731,1422846,1415224,1413343,1425882,1441412,1440117,1436115,1433105,1447939,1460760,1478423,1490805,1506770,1522433,1535293,1537930,1539263,1555432,1574474,1593270,1594024,1594261,1591667,1593787,1595240,1595520,"Los Angeles County",90034,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"8",7,382722,381966,382596,380740,380207,379671,379636,377263,372430,367693,365001,365654,364218,360710,355229,351733,346869,342571,339955,339634,340403,338935,336788,333538,332874,333451,335906,337081,338911,339906,342334,345911,351235,357850,362917,368559,374711,382681,390786,400488,411834,423596,434500,440653,445821,449294,456023,462912,466328,467074,465972,464404,461890,460585,457391,458068,458031,460412,460866,459290,460351,462787,466574,469934,471642,472681,475151,476937,479489,481903,484303,489390,492413,494048,495007,497616,501983,504317,506024,508935,512367,515196,518315,519179,522213,525782,530675,533264,534872,538912,542502,544718,546355,549045,551456,554590,557598,561939,564205,565577,568069,571538,575981,578862,578912,578112,577373,578655,579029,578045,577723,580513,585956,591182,593129,592803,593055,593012,595801,597095,600340,601535,605562,609035,611450,611750,614662,620777,628338,636772,643345,650453,656950,666192,673949,"Sacramento County",95630,"CA","Folsom",3341.2,17.8,3.66666666666667,4,3
"9",8,273906,273227,273312,273843,275815,274868,274954,273486,272941,272214,271086,270335,269551,269365,267691,266545,263414,263603,262670,261997,259618,257745,257724,257163,256873,256061,255877,256267,257860,259540,260519,262177,264689,269111,272398,277129,280734,286859,293005,299867,305730,311601,318785,326324,332585,335883,338861,340516,343521,343719,344496,343837,344360,344648,345888,345757,346048,347064,349491,352060,355235,358889,362134,363756,365876,367511,368974,370588,372986,375711,378230,381681,383733,386539,388998,394282,398020,402000,403979,407085,410748,415287,417752,419162,421709,424192,426775,427959,430760,433461,437291,440721,443638,445663,450019,454739,459200,463211,467356,470991,474004,476874,479498,480415,480239,480314,480029,479561,478636,476519,474730,475673,479657,484353,485514,485659,485999,488431,490941,494260,497275,501690,507212,512262,514988,516402,520782,527058,533959,539332,544431,548993,554197,559200,563341,"Los Angeles County",90805,"CA","Long Beach",9366.1,26.4,2.21428571428571,2,1
"10",9,305093,303419,303408,304242,307879,307585,308014,305708,304973,303352,300797,298605,297125,297422,296202,295339,292257,291754,290406,289922,288504,286877,286962,286703,287093,286543,286247,286298,287538,288982,290965,292384,294366,297546,300467,304492,307002,312132,317284,324012,329438,335463,341150,348086,353928,358384,362158,364803,368913,370247,372351,372520,373858,374195,375582,376413,377479,378862,380922,382909,385473,388561,391956,393434,395532,397465,399472,401150,403095,405719,408380,412424,414968,417688,418808,422587,425282,428416,430438,433562,437680,441452,443536,444615,446948,449143,451835,453661,456912,459827,463359,466080,468200,469734,473216,476743,480136,483935,487862,490979,493166,495676,497997,498654,497973,497697,497611,497125,496491,493933,491853,491916,495018,498438,499022,498969,499643,501218,502786,505685,508701,513308,518266,523200,525895,527816,532229,538317,544777,550643,556193,561044,566076,571001,575685,"Los Angeles County",90650,"CA","Norwalk",11004,18.73,2,4,1
