Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Acalanes Ridge,Contra Costa,"1,431",71.6%,14.0%,11.8%,0.0%,2.6%,4.8%
Acampo,San Joaquin,387,100.0%,0.0%,0.0%,0.0%,0.0%,92.2%
Acton,Los Angeles,"7,138",87.5%,10.9%,1.2%,0.2%,0.3%,15.8%
Adelanto,San Bernardino,"30,670",55.5%,19.4%,2.4%,21.1%,1.5%,51.8%
Adin,Modoc,418,96.7%,0.0%,0.0%,0.0%,3.3%,2.2%
Agoura Hills,Los Angeles,"20,353",83.1%,9.0%,6.4%,1.6%,0.0%,11.4%
Agua Dulce,Los Angeles,"2,991",93.4%,5.4%,1.2%,0.0%,0.0%,17.6%
Aguanga,Riverside,"1,540",91.2%,6.1%,0.0%,2.7%,0.0%,8.7%
Ahwahnee,Madera,"1,685",99.9%,0.0%,0.1%,0.0%,0.0%,0.1%
Airport,Stanislaus,"1,490",78.7%,16.3%,0.0%,0.0%,5.0%,61.7%
Alameda,Alameda,"73,239",49.5%,9.8%,33.1%,6.7%,0.9%,11.8%
Alamo,Contra Costa,"15,531",88.6%,3.4%,7.1%,0.6%,0.2%,3.6%
Albany,Alameda,"18,217",60.7%,7.0%,29.1%,3.0%,0.1%,9.7%
Albion,Mendocino,255,80.0%,14.5%,5.5%,0.0%,0.0%,12.2%
Alderpoint,Humboldt,113,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Alhambra,Los Angeles,"83,301",28.2%,16.3%,53.4%,1.6%,0.5%,33.5%
Alhambra Valley,Contra Costa,910,98.6%,0.0%,1.4%,0.0%,0.0%,0.0%
Aliso Viejo,Orange,"47,037",71.3%,11.6%,13.6%,3.3%,0.1%,17.0%
Alleghany,Sierra,65,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Allendale,Solano,"1,968",86.1%,10.7%,3.2%,0.0%,0.0%,14.7%
Allensworth,Tulare,281,90.7%,0.4%,1.8%,7.1%,0.0%,84.7%
Almanor,Plumas,10,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Alondra Park,Los Angeles,"8,358",38.8%,34.3%,14.6%,11.2%,1.1%,48.7%
Alpaugh,Tulare,847,86.3%,9.6%,0.0%,2.4%,1.8%,74.5%
Alpine,San Diego,"13,332",87.9%,8.7%,1.3%,1.4%,0.7%,15.8%
Alpine Village,Alpine,180,47.2%,0.0%,0.0%,0.0%,52.8%,1.7%
Alta,Placer,549,97.6%,2.0%,0.0%,0.0%,0.4%,9.8%
Altadena,Los Angeles,"45,006",62.8%,9.1%,4.0%,23.7%,0.3%,29.1%
Alta Sierra,Nevada,"6,888",93.6%,3.7%,1.5%,0.0%,1.2%,8.2%
Alto,Marin,741,96.8%,3.2%,0.0%,0.0%,0.0%,16.5%
Alturas,Modoc,"2,813",86.8%,5.4%,1.6%,1.3%,4.8%,6.9%
Alum Rock,Santa Clara,"11,814",60.5%,25.7%,11.3%,2.0%,0.5%,73.0%
Amador City,Amador,158,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
American Canyon,Napa,"18,489",48.7%,9.4%,33.4%,6.5%,2.0%,24.7%
Amesti,Santa Cruz,"3,599",96.0%,3.3%,0.4%,0.0%,0.3%,69.5%
Anaheim,Orange,"335,057",60.2%,21.8%,14.6%,2.7%,0.7%,53.0%
Anchor Bay,Mendocino,361,97.8%,2.2%,0.0%,0.0%,0.0%,0.0%
Anderson,Shasta,"9,927",86.4%,6.5%,3.1%,1.4%,2.6%,10.4%
Angels,Calaveras,"3,820",94.9%,5.1%,0.0%,0.0%,0.0%,17.7%
Angwin,Napa,"3,179",69.6%,9.9%,13.1%,7.1%,0.3%,25.3%
Antelope,Sacramento,"46,343",66.8%,10.5%,10.8%,10.4%,1.6%,13.7%
Antioch,Contra Costa,"101,118",51.7%,19.2%,9.8%,17.5%,1.8%,32.1%
Anza,Riverside,"3,111",82.9%,12.6%,0.0%,0.4%,4.2%,31.7%
Apple Valley,San Bernardino,"68,316",76.6%,10.1%,2.0%,10.4%,0.9%,28.7%
Aptos,Santa Cruz,"6,121",91.9%,2.3%,3.8%,1.6%,0.5%,14.9%
Aptos Hills-Larkin Valley,Santa Cruz,"2,557",97.2%,2.0%,0.4%,0.0%,0.4%,29.8%
Arbuckle,Colusa,"3,236",55.3%,43.9%,0.5%,0.0%,0.3%,66.0%
Arcadia,Los Angeles,"55,993",33.1%,8.4%,56.9%,1.2%,0.4%,12.9%
Arcata,Humboldt,"17,118",81.4%,8.0%,3.1%,2.7%,4.8%,12.2%
Arden-Arcade,Sacramento,"91,132",73.4%,11.4%,5.5%,8.5%,1.2%,17.5%
Armona,Kings,"3,419",74.1%,11.9%,4.6%,8.9%,0.6%,58.6%
Arnold,Calaveras,"3,172",93.0%,6.7%,0.0%,0.0%,0.3%,6.9%
Aromas,MontereySan Benito,"2,532",82.7%,11.0%,4.9%,0.0%,1.4%,23.7%
Arroyo Grande,San Luis Obispo,"17,132",85.8%,6.7%,5.0%,1.6%,0.8%,12.7%
Artesia,Los Angeles,"16,495",37.9%,22.6%,34.8%,3.9%,0.8%,35.7%
Artois,Glenn,189,87.8%,12.2%,0.0%,0.0%,0.0%,12.2%
Arvin,Kern,"18,809",65.9%,32.0%,0.6%,0.4%,1.1%,91.0%
Ashland,Alameda,"22,106",53.4%,11.9%,16.4%,17.0%,1.3%,46.7%
Aspen Springs,Mono,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Atascadero,San Luis Obispo,"28,194",88.5%,5.7%,1.7%,1.7%,2.4%,13.7%
Atherton,San Mateo,"6,883",84.8%,4.1%,10.0%,0.2%,0.9%,5.1%
Atwater,Merced,"27,922",66.0%,21.6%,7.0%,4.3%,1.1%,49.2%
Auberry,Fresno,"2,259",87.7%,4.3%,0.5%,0.1%,7.4%,9.3%
Auburn,Placer,"13,476",90.4%,6.7%,1.2%,1.0%,0.7%,6.6%
Auburn Lake Trails,El Dorado,"3,741",97.0%,1.5%,0.2%,1.0%,0.3%,2.3%
August,San Joaquin,"8,017",63.3%,27.1%,4.2%,2.2%,3.2%,70.6%
Avalon,Los Angeles,"3,690",93.7%,5.5%,0.4%,0.5%,0.0%,61.7%
Avenal,Kings,"15,705",73.1%,23.1%,0.3%,3.1%,0.4%,86.4%
Avery,Calaveras,415,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Avilla Beach,San Luis Obispo,"1,086",91.4%,8.6%,0.0%,0.0%,0.0%,2.2%
Avocado Heights,Los Angeles,"15,378",38.4%,50.3%,9.6%,1.6%,0.1%,80.2%
Azusa,Los Angeles,"46,177",44.9%,41.8%,8.0%,4.0%,1.3%,67.0%
Baker,San Bernardino,713,37.0%,52.5%,0.0%,8.7%,1.8%,69.6%
Bakersfield,Kern,"339,761",62.9%,21.9%,5.9%,8.2%,1.1%,44.5%
Baldwin Park,Los Angeles,"75,441",35.5%,47.7%,15.1%,0.9%,0.8%,78.8%
Ballard,Santa Barbara,429,94.6%,4.4%,0.0%,0.0%,0.9%,5.4%
Ballico,Merced,384,72.1%,24.7%,1.6%,0.0%,1.6%,49.2%
Bangor,Butte,416,88.5%,5.0%,2.2%,0.0%,4.3%,0.0%
Banning,Riverside,"29,414",76.9%,8.8%,6.8%,6.7%,0.7%,37.0%
Barstow,San Bernardino,"22,913",58.8%,18.0%,1.7%,16.4%,5.0%,39.6%
Bass Lake,Madera,473,96.6%,0.0%,0.0%,0.0%,3.4%,3.4%
Bay Point,Contra Costa,"21,987",51.0%,28.5%,7.6%,12.1%,0.8%,54.1%
Bayview (Contra Costa County),Contra Costa,"2,168",55.5%,9.7%,18.2%,15.3%,1.3%,29.6%
Bayview (Humboldt County),Humboldt,"2,818",82.9%,11.9%,0.8%,0.0%,4.4%,25.2%
Beale AFB,Yuba,"1,818",65.6%,26.7%,5.2%,1.9%,0.7%,18.1%
Bear Creek,Merced,188,44.7%,55.3%,0.0%,0.0%,0.0%,89.4%
Bear Valley (Alpine County),Alpine,71,87.3%,12.7%,0.0%,0.0%,0.0%,12.7%
Bear Valley (Mariposa County),Mariposa,255,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bear Valley Springs,Kern,"5,273",90.5%,7.1%,1.8%,0.4%,0.1%,8.9%
Beaumont,Riverside,"34,737",72.5%,12.0%,10.1%,4.6%,0.8%,37.6%
Beckwourth,Plumas,460,94.3%,5.7%,0.0%,0.0%,0.0%,0.0%
Belden,Plumas,56,55.4%,0.0%,44.6%,0.0%,0.0%,0.0%
Bell,Los Angeles,"35,602",64.5%,33.4%,0.3%,1.2%,0.6%,92.1%
Bella Vista,Shasta,"2,344",97.1%,0.4%,0.8%,0.0%,1.7%,6.0%
Bell Canyon,Ventura,"2,291",83.9%,3.0%,10.3%,0.0%,2.7%,3.4%
Bellflower,Los Angeles,"76,243",35.0%,38.7%,11.1%,14.0%,1.3%,50.7%
Bell Gardens,Los Angeles,"42,294",63.0%,35.4%,0.3%,1.0%,0.4%,97.0%
Belmont,San Mateo,"25,568",66.6%,8.1%,22.4%,2.5%,0.3%,12.2%
Belvedere,Marin,"2,118",95.0%,3.4%,1.2%,0.4%,0.0%,7.6%
Benbow,Humboldt,415,91.8%,8.2%,0.0%,0.0%,0.0%,8.2%
Bend,Tehama,620,93.1%,3.7%,1.5%,0.0%,1.8%,3.5%
Benicia,Solano,"26,981",75.6%,10.4%,9.3%,3.1%,1.7%,12.2%
Ben Lomond,Santa Cruz,"6,493",96.0%,2.7%,1.2%,0.0%,0.0%,6.4%
Benton,Mono,76,67.1%,0.0%,0.0%,0.0%,32.9%,27.6%
Berkeley,Alameda,"111,008",61.5%,8.0%,20.6%,9.3%,0.6%,10.5%
Bermuda Dunes,Riverside,"7,047",88.5%,4.1%,1.1%,6.3%,0.0%,25.4%
Berry Creek,Butte,"1,305",85.9%,11.7%,0.2%,0.0%,2.1%,4.1%
Bertsch-Oceanview,Del Norte,"2,729",77.9%,13.6%,1.1%,0.0%,7.4%,8.1%
Bethel Island,Contra Costa,"1,882",92.2%,5.6%,2.2%,0.0%,0.0%,11.8%
Beverly Hills,Los Angeles,"34,042",85.9%,4.3%,6.8%,2.8%,0.2%,5.7%
Bieber,Lassen,280,82.5%,16.1%,1.4%,0.0%,0.0%,16.1%
Big Bear City,San Bernardino,"11,504",82.3%,13.7%,1.1%,1.3%,1.6%,23.7%
Big Bear Lake,San Bernardino,"5,109",74.9%,20.9%,0.0%,1.8%,2.3%,24.0%
Big Bend,Shasta,95,89.5%,0.0%,5.3%,5.3%,0.0%,11.6%
Big Creek,Fresno,227,69.6%,26.9%,0.0%,0.0%,3.5%,11.5%
Biggs,Butte,"1,927",74.2%,19.8%,3.3%,0.6%,2.1%,35.6%
Big Lagoon,Humboldt,179,48.0%,0.0%,0.0%,0.0%,52.0%,1.7%
Big Pine,Inyo,"1,563",77.4%,7.8%,1.5%,1.0%,12.3%,11.5%
Big River,San Bernardino,"1,213",88.0%,8.9%,0.0%,0.0%,3.1%,12.1%
Biola,Fresno,"1,066",60.6%,20.7%,17.7%,0.0%,0.9%,72.2%
Bishop,Inyo,"3,839",78.5%,17.6%,2.6%,0.1%,1.2%,31.2%
Blackhawk,Contra Costa,"9,186",72.2%,4.9%,19.0%,4.0%,0.0%,5.8%
Blacklake,San Luis Obispo,"1,014",97.1%,0.0%,1.5%,0.0%,1.4%,0.8%
Black Point-Green Point,Marin,"1,204",93.4%,5.8%,0.8%,0.0%,0.0%,7.8%
Blairsden,Plumas,32,53.1%,46.9%,0.0%,0.0%,0.0%,53.1%
Bloomfield,Sonoma,186,93.0%,0.0%,7.0%,0.0%,0.0%,3.2%
Bloomington,San Bernardino,"25,234",60.9%,33.2%,0.8%,3.5%,1.6%,83.5%
Blue Lake,Humboldt,"1,336",84.6%,3.6%,1.6%,2.2%,8.1%,5.0%
Bluewater,San Bernardino,114,100.0%,0.0%,0.0%,0.0%,0.0%,10.5%
Blythe,Riverside,"21,102",62.4%,18.8%,2.0%,15.9%,0.9%,48.5%
Bodega,Sonoma,132,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bodega Bay,Sonoma,772,87.2%,3.5%,9.3%,0.0%,0.0%,4.9%
Bodfish,Kern,"1,982",91.2%,1.7%,0.0%,0.0%,7.2%,4.8%
Bolinas,Marin,"1,117",89.3%,1.7%,3.8%,5.2%,0.0%,4.7%
Bombay Beach,Imperial,459,69.7%,0.0%,0.0%,30.3%,0.0%,0.0%
Bonadelle Ranchos-Madera Ranchos,Madera,"8,400",83.1%,8.0%,3.1%,5.3%,0.4%,26.0%
Bonita,San Diego,"13,824",74.1%,10.9%,9.3%,4.1%,1.6%,46.7%
Bonny Doon,Santa Cruz,"2,342",89.9%,4.1%,2.1%,2.2%,1.8%,5.5%
Bonsall,San Diego,"3,836",78.3%,12.0%,5.7%,3.9%,0.0%,16.3%
Boonville,Mendocino,997,68.3%,30.8%,0.0%,0.0%,0.9%,56.1%
Bootjack,Mariposa,951,85.0%,13.6%,1.5%,0.0%,0.0%,0.0%
Boron,Kern,"2,323",84.1%,5.4%,0.0%,10.2%,0.3%,14.9%
Boronda,Monterey,"1,606",58.0%,31.2%,9.9%,0.0%,0.9%,82.6%
Borrego Springs,San Diego,"2,427",71.2%,25.3%,2.6%,0.0%,0.9%,43.3%
Bostonia,San Diego,"13,705",85.3%,6.0%,2.3%,5.3%,1.0%,28.6%
Boulder Creek,Santa Cruz,"5,337",93.1%,5.3%,1.6%,0.0%,0.0%,4.0%
Boulevard,San Diego,23,100.0%,0.0%,0.0%,0.0%,0.0%,17.4%
Bowles,Fresno,105,63.8%,32.4%,0.0%,1.9%,1.9%,41.0%
Boyes Hot Springs,Sonoma,"7,284",74.8%,20.8%,3.4%,0.0%,1.1%,52.7%
Bradbury,Los Angeles,932,64.5%,2.3%,32.9%,0.0%,0.3%,11.6%
Bradley,Monterey,75,74.7%,20.0%,0.0%,5.3%,0.0%,2.7%
Brawley,Imperial,"24,645",78.0%,16.2%,0.9%,4.2%,0.7%,80.1%
Brea,Orange,"38,837",71.0%,10.1%,17.5%,1.0%,0.5%,23.6%
Brentwood,Contra Costa,"48,582",73.7%,13.1%,6.7%,5.5%,1.0%,28.6%
Bret Harte,Stanislaus,"4,916",62.7%,30.7%,1.4%,2.2%,3.1%,82.2%
Bridgeport,Mono,456,82.7%,1.8%,0.0%,2.6%,12.9%,5.3%
Brisbane,San Mateo,"4,179",57.9%,13.0%,25.6%,1.0%,2.5%,25.1%
Broadmoor,San Mateo,"4,229",45.1%,14.9%,38.0%,1.0%,0.9%,22.5%
Brookdale,Santa Cruz,"1,723",98.3%,0.6%,1.0%,0.0%,0.0%,14.3%
Brooktrails,Mendocino,"3,280",91.8%,2.9%,2.7%,0.0%,2.7%,3.8%
Buckhorn,Amador,"2,090",98.4%,1.6%,0.0%,0.0%,0.0%,5.6%
Buck Meadows,Mariposa,31,74.2%,9.7%,0.0%,16.1%,0.0%,0.0%
Bucks Lake,Plumas,18,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Buellton,Santa Barbara,"4,712",69.9%,23.0%,4.2%,0.4%,2.5%,38.9%
Buena Park,Orange,"80,214",53.4%,14.9%,26.1%,4.5%,1.1%,37.7%
Buena Vista,Amador,435,68.5%,25.1%,0.0%,0.0%,6.4%,0.0%
Burbank,Los Angeles,"103,037",74.2%,12.0%,11.5%,2.0%,0.3%,25.5%
Burbank,Santa Clara,"5,827",67.3%,19.2%,11.6%,1.5%,0.3%,48.5%
Burlingame,San Mateo,"28,514",70.9%,6.8%,20.2%,1.4%,0.7%,11.9%
Burney,Shasta,"2,824",91.5%,3.0%,0.2%,0.0%,5.2%,3.5%
Burnt Ranch,Trinity,293,92.8%,6.1%,0.0%,0.0%,1.0%,2.0%
Butte Creek Canyon,Butte,924,96.6%,2.4%,0.6%,0.0%,0.3%,3.6%
Butte Meadows,Butte,21,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Butte Valley,Butte,954,100.0%,0.0%,0.0%,0.0%,0.0%,10.5%
Buttonwillow,Kern,"1,449",76.3%,20.9%,0.1%,2.6%,0.0%,76.6%
Byron,Contra Costa,"1,287",84.8%,10.4%,0.4%,4.4%,0.0%,13.8%
Bystrom,Stanislaus,"3,858",73.8%,20.1%,5.8%,0.3%,0.0%,79.7%
Cabazon,Riverside,"1,729",87.9%,7.6%,0.0%,3.5%,0.9%,40.8%
Calabasas,Los Angeles,"22,839",81.6%,5.1%,10.1%,3.1%,0.2%,6.6%
Calexico,Imperial,"37,378",64.4%,34.1%,1.0%,0.2%,0.3%,96.4%
California City,Kern,"13,684",64.8%,15.9%,2.7%,16.4%,0.2%,24.4%
California Hot Springs,Tulare,67,98.5%,1.5%,0.0%,0.0%,0.0%,0.0%
California Pines,Modoc,105,81.0%,19.0%,0.0%,0.0%,0.0%,3.8%
Calimesa,Riverside,"7,923",91.0%,7.6%,1.0%,0.5%,0.0%,19.5%
Calipatria,Imperial,"7,292",66.8%,21.1%,1.5%,9.0%,1.7%,75.5%
Calistoga,Napa,"5,159",93.3%,4.7%,0.9%,1.0%,0.0%,38.2%
Callender,San Luis Obispo,"1,531",96.3%,2.2%,1.6%,0.0%,0.0%,42.5%
Calpella,Mendocino,890,79.8%,9.3%,2.7%,5.1%,3.1%,6.7%
Calpine,Sierra,194,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Calwa,Fresno,"1,467",49.5%,44.4%,6.1%,0.0%,0.0%,83.0%
Camanche North Shore,Amador,791,96.7%,3.3%,0.0%,0.0%,0.0%,16.9%
Camanche Village,Amador,704,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Camarillo,Ventura,"64,340",73.0%,13.8%,10.7%,1.4%,1.0%,24.5%
Cambria,San Luis Obispo,"6,229",91.7%,4.3%,2.7%,0.0%,1.3%,17.1%
