Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Aspen Springs,Mono,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Canyondam,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Caribou,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cedar Slope,Tulare,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Franklin (Sacramento County),Sacramento,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Gold Mountain,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Graniteville,Nevada,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Hartland,Tulare,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Lookout,Modoc,5,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Mount Laguna,San Diego,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Paxton,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Poso Park,Tulare,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Silver City,Tulare,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Spring Garden,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Storrie,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sugarloaf Mountain Park,Tulare,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sugarloaf Saw Mill,Tulare,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Tobin,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Trona,Inyo,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"University of California, Merced",Merced,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Valley Wells,Inyo,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Warner Valley,Plumas,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Wilsonia,Tulare,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
View Park-Windsor Hills,Los Angeles,"10,814",6.70%,6.20%,1.80%,83.80%,1.50%,3.70%
Ladera Heights,Los Angeles,"6,624",13.80%,2.50%,1.70%,79.70%,2.30%,3.20%
Westmont,Los Angeles,"30,915",16.80%,30.00%,0.00%,52.50%,0.60%,45.90%
Monterey Park,Los Angeles,"60,251",18.80%,14.90%,65.40%,0.30%,0.60%,27.70%
Cerritos,Los Angeles,"49,281",21.30%,9.00%,62.20%,6.80%,0.80%,11.40%
Union City,Alameda,"68,830",21.50%,17.80%,53.30%,6.20%,1.20%,21.50%
Walnut,Los Angeles,"29,269",21.70%,10.50%,64.80%,2.70%,0.20%,17.60%
Milpitas,Santa Clara,"66,038",21.80%,14.60%,59.00%,3.50%,1.10%,17.10%
Rosemead,Los Angeles,"53,725",21.80%,15.80%,60.80%,0.60%,0.90%,31.90%
Rowland Heights,Los Angeles,"50,663",22.10%,17.90%,58.20%,1.20%,0.60%,28.70%
Gardena,Los Angeles,"58,743",23.10%,24.50%,28.10%,22.80%,1.40%,36.90%
Inglewood,Los Angeles,"109,967",23.50%,30.40%,1.40%,43.90%,0.70%,49.40%
South San Gabriel,Los Angeles,"7,872",23.90%,19.90%,54.50%,0.80%,0.90%,38.50%
West Rancho Dominguez,Los Angeles,"5,474",25.80%,25.20%,4.90%,43.90%,0.30%,40.30%
San Gabriel,Los Angeles,"39,703",26.80%,11.70%,59.80%,0.90%,0.90%,26.30%
West Athens,Los Angeles,"8,431",26.90%,20.40%,1.10%,51.20%,0.40%,45.90%
Daly City,San Mateo,"100,556",27.00%,13.40%,55.00%,3.00%,1.60%,24.20%
Alhambra,Los Angeles,"83,301",28.20%,16.30%,53.40%,1.60%,0.50%,33.50%
Hercules,Contra Costa,"23,556",28.30%,9.00%,43.80%,16.70%,2.10%,12.20%
Taft Mosswood,San Joaquin,"1,406",30.40%,30.40%,16.10%,21.40%,1.60%,65.00%
North Richmond,Contra Costa,"3,214",31.50%,17.80%,16.50%,34.20%,0.00%,43.90%
Carson,Los Angeles,"91,508",31.60%,16.70%,26.00%,22.30%,3.40%,37.80%
Herlong,Lassen,"1,260",32.00%,38.50%,1.00%,24.40%,4.10%,47.00%
Temple City,Los Angeles,"35,372",32.10%,10.40%,56.80%,0.40%,0.20%,17.00%
Colma,San Mateo,"1,785",32.20%,21.80%,44.00%,1.30%,0.70%,40.00%
Lennox,Los Angeles,"22,303",32.70%,59.80%,0.40%,5.90%,1.10%,91.00%
Lee Vining,Mono,406,32.80%,13.10%,0.00%,0.00%,54.20%,50.70%
Del Rey,Fresno,"1,625",33.00%,64.50%,0.00%,0.00%,2.50%,100.00%
Arcadia,Los Angeles,"55,993",33.10%,8.40%,56.90%,1.20%,0.40%,12.90%
Yolo,Yolo,335,33.10%,44.50%,0.00%,0.00%,22.40%,94.00%
Paramount,Los Angeles,"54,196",33.20%,52.70%,2.60%,9.80%,1.70%,79.50%
Lynwood,Los Angeles,"69,818",33.40%,56.10%,0.80%,9.20%,0.50%,87.20%
Hardwick,Kings,107,33.60%,64.50%,1.90%,0.00%,0.00%,64.50%
Fremont,Alameda,"211,748",33.90%,12.80%,49.00%,3.30%,1.10%,15.40%
Raisin City,Fresno,272,34.20%,41.50%,0.00%,0.00%,24.30%,95.60%
Suisun City,Solano,"27,900",34.40%,24.90%,19.90%,19.70%,1.10%,25.60%
Cupertino,Santa Clara,"57,459",34.60%,3.90%,60.70%,0.40%,0.40%,4.30%
Diamond Bar,Los Angeles,"55,668",34.90%,8.50%,53.00%,3.50%,0.20%,19.30%
Bellflower,Los Angeles,"76,243",35.00%,38.70%,11.10%,14.00%,1.30%,50.70%
McClellan Park,Sacramento,946,35.10%,20.60%,26.70%,17.50%,0.00%,24.40%
Midway City,Orange,"8,052",35.20%,15.50%,47.10%,0.20%,1.90%,27.70%
Baldwin Park,Los Angeles,"75,441",35.50%,47.70%,15.10%,0.90%,0.80%,78.80%
East San Gabriel,Los Angeles,"15,453",35.50%,14.30%,49.00%,0.50%,0.70%,23.70%
Vallejo,Solano,"116,021",36.20%,17.20%,23.90%,21.00%,1.60%,23.30%
East Nicolaus,Sutter,301,36.90%,46.50%,16.60%,0.00%,0.00%,46.50%
Hayward,Alameda,"142,936",36.90%,24.90%,23.60%,11.40%,3.20%,39.90%
Baker,San Bernardino,713,37.00%,52.50%,0.00%,8.70%,1.80%,69.60%
Malaga,Fresno,827,37.00%,63.00%,0.00%,0.00%,0.00%,100.00%
Marin City,Marin,"2,711",37.10%,13.40%,4.20%,45.00%,0.40%,14.80%
Crows Landing,Stanislaus,425,37.20%,0.00%,0.00%,0.00%,62.80%,75.50%
Mountain House,San Joaquin,"8,895",37.20%,13.00%,32.30%,13.60%,3.80%,17.80%
West Covina,Los Angeles,"105,810",37.40%,32.40%,24.80%,5.00%,0.40%,53.60%
Vernon,Los Angeles,64,37.50%,48.40%,10.90%,0.00%,3.10%,70.30%
Artesia,Los Angeles,"16,495",37.90%,22.60%,34.80%,3.90%,0.80%,35.70%
Fruitridge Pocket,Sacramento,"5,675",37.90%,21.30%,22.40%,15.00%,3.30%,43.50%
Macdoel,Siskiyou,108,38.00%,62.00%,0.00%,0.00%,0.00%,72.20%
Compton,Los Angeles,"96,102",38.20%,29.10%,0.30%,31.20%,1.10%,65.50%
Avocado Heights,Los Angeles,"15,378",38.40%,50.30%,9.60%,1.60%,0.10%,80.20%
West Carson,Los Angeles,"20,641",38.50%,18.70%,27.60%,11.90%,3.30%,34.60%
Alondra Park,Los Angeles,"8,358",38.80%,34.30%,14.60%,11.20%,1.10%,48.70%
El Monte,Los Angeles,"113,763",38.80%,34.50%,25.10%,0.80%,0.80%,68.50%
Oakland,Alameda,"389,397",39.00%,15.70%,16.10%,28.10%,1.10%,25.00%
Fort Bidwell,Modoc,151,39.10%,1.30%,2.00%,0.00%,57.60%,1.30%
Willowbrook,Los Angeles,"34,322",39.20%,21.20%,0.30%,39.00%,0.20%,58.50%
Westminster,Orange,"89,440",40.10%,11.10%,47.20%,0.80%,0.80%,22.30%
La Palma,Orange,"15,536",40.40%,6.30%,45.70%,6.50%,1.10%,13.70%
Signal Hill,Los Angeles,"10,842",40.40%,20.60%,24.10%,13.10%,1.80%,33.30%
Garey,Santa Barbara,160,40.60%,59.40%,0.00%,0.00%,0.00%,65.60%
Pittsburg,Contra Costa,"62,528",40.60%,24.60%,15.10%,17.80%,1.90%,41.70%
Meadowbrook,Riverside,"2,995",40.80%,49.50%,5.00%,4.40%,0.30%,66.70%
Good Hope,Riverside,"9,194",40.90%,48.10%,1.10%,8.40%,1.50%,75.20%
Fish Camp,Mariposa,53,41.50%,0.00%,0.00%,0.00%,58.50%,0.00%
South San Francisco,San Mateo,"62,822",41.50%,16.80%,35.90%,2.40%,3.50%,33.70%
Vincent,Los Angeles,"16,736",42.00%,47.90%,6.80%,3.10%,0.20%,71.70%
Newark,Alameda,"42,322",42.10%,24.40%,26.20%,4.30%,3.00%,35.20%
Santa Ana,Orange,"325,517",42.10%,46.00%,10.10%,1.20%,0.70%,78.70%
Palmdale,Los Angeles,"149,001",42.60%,37.80%,4.20%,14.40%,0.90%,53.60%
Sun Village,Los Angeles,"11,165",42.70%,50.20%,0.40%,6.40%,0.30%,66.50%
Florin,Sacramento,"49,869",42.90%,13.20%,26.40%,14.40%,3.10%,30.80%
Fuller Acres,Kern,912,43.00%,53.80%,0.00%,0.00%,3.20%,84.90%
Montclair,San Bernardino,"36,802",43.10%,39.80%,10.20%,4.60%,2.30%,67.10%
Garden Grove,Orange,"170,148",43.20%,16.40%,37.80%,1.20%,1.40%,36.30%
Citrus,Los Angeles,"10,441",43.30%,44.60%,7.40%,1.50%,3.10%,69.50%
"University of California, Davis",Yolo,"6,805",43.60%,10.80%,41.20%,1.60%,2.80%,13.90%
San Marino,Los Angeles,"13,131",43.70%,4.30%,51.90%,0.00%,0.10%,6.50%
Desert View Highlands,Los Angeles,"2,431",43.80%,51.90%,0.00%,3.50%,0.80%,61.10%
Edmundson Acres,Kern,306,43.80%,49.30%,0.00%,3.90%,2.90%,84.00%
Perris,Riverside,"65,993",43.80%,38.80%,3.60%,12.40%,1.40%,70.70%
Richmond,Contra Costa,"103,161",43.80%,14.40%,14.70%,26.50%,0.60%,37.90%
El Nido,Merced,297,44.10%,55.90%,0.00%,0.00%,0.00%,72.40%
Emeryville,Alameda,"9,698",44.10%,5.70%,36.30%,13.80%,0.20%,8.80%
Elk Grove,Sacramento,"146,537",44.30%,17.30%,25.20%,11.10%,2.10%,19.40%
Stanton,Orange,"38,141",44.40%,29.50%,22.00%,2.80%,1.30%,47.70%
Sunnyvale,Santa Clara,"138,436",44.60%,12.30%,40.60%,1.80%,0.80%,17.80%
Bear Creek,Merced,188,44.70%,55.30%,0.00%,0.00%,0.00%,89.40%
San Bernardino,San Bernardino,"210,100",44.80%,34.90%,4.40%,14.90%,1.10%,58.80%
