ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
0,"Total",2018,"2018",102125,1678,"Alameda County, CA","05000US06001","alameda-county-ca"
0,"Total",2018,"2018",51652,3471,"Butte County, CA","05000US06007","butte-county-ca"
0,"Total",2018,"2018",101618,1585,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
0,"Total",2018,"2018",82742,5957,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
0,"Total",2018,"2018",52629,2017,"Fresno County, CA","05000US06019","fresno-county-ca"
0,"Total",2018,"2018",50294,3615.9999999999995,"Humboldt County, CA","05000US06023","humboldt-county-ca"
0,"Total",2018,"2018",48984,5118,"Imperial County, CA","05000US06025","imperial-county-ca"
0,"Total",2018,"2018",51579,1968.0000000000002,"Kern County, CA","05000US06029","kern-county-ca"
0,"Total",2018,"2018",61663,4835,"Kings County, CA","05000US06031","kings-county-ca"
0,"Total",2018,"2018",48554,7587,"Lake County, CA","05000US06033","lake-county-ca"
0,"Total",2018,"2018",68093,802,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
0,"Total",2018,"2018",56305,7392,"Madera County, CA","05000US06039","madera-county-ca"
0,"Total",2018,"2018",126373,7822.000000000001,"Marin County, CA","05000US06041","marin-county-ca"
0,"Total",2018,"2018",51830,4580,"Mendocino County, CA","05000US06045","mendocino-county-ca"
0,"Total",2018,"2018",57745,3382,"Merced County, CA","05000US06047","merced-county-ca"
0,"Total",2018,"2018",70681,3641,"Monterey County, CA","05000US06053","monterey-county-ca"
0,"Total",2018,"2018",87025,4296,"Napa County, CA","05000US06055","napa-county-ca"
0,"Total",2018,"2018",66299,6792.999999999999,"Nevada County, CA","05000US06057","nevada-county-ca"
0,"Total",2018,"2018",89759,1823,"Orange County, CA","05000US06059","orange-county-ca"
0,"Total",2018,"2018",88592,4663,"Placer County, CA","05000US06061","placer-county-ca"
0,"Total",2018,"2018",66964,1177,"Riverside County, CA","05000US06065","riverside-county-ca"
0,"Total",2018,"2018",69767,1676,"Sacramento County, CA","05000US06067","sacramento-county-ca"
0,"Total",2018,"2018",63857,1948.0000000000002,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
0,"Total",2018,"2018",79079,1474,"San Diego County, CA","05000US06073","san-diego-county-ca"
